"id","line"
"1","Act of corruption is to be reported to Anti-Corruption Bureau (ACB). You can hand in your report by coming to ACB office, by writing a letter to ACB, by calling, through email, or you can report from this app. Report can be done anonymously and reporter are protected by the law. So if you see someone doing corruption, do what is right and report it to ACB."
"2","Submitting a false claim is punishable by law. If you are unsure, you can contact Anti-Corruption Bureau (ACB) on what is considered as corruption, or explore this app further. We aim to spread awareness on corruption and your feedback is greatly appreciated"
"3","Corruption is the act of giving or receiving gratification in return for a favour related to his/her official duty. Corruption include receiving/soliciting bribes, giving/promising/offering bribes, submitting false documents/claims/accounts, possession of unexplained property, and misconduct in public office"
"4","Anti-Corruption Bureau (ACB) handles all problem related to corruption. ACB investigates corruption offences and aims to prevent corruption in both public and private sectors"
